"user_id","action","expense","email","sum(expense) OVER (PARTITION BY email ORDER BY action ASC)"
4,click,292,a1b2@mail.ru,7924
4,click,902,a1b2@mail.ru,7924
4,click,442,a1b2@mail.ru,7924
4,click,832,a1b2@mail.ru,7924
4,click,222,a1b2@mail.ru,7924
4,click,612,a1b2@mail.ru,7924
4,click,2,a1b2@mail.ru,7924
4,click,392,a1b2@mail.ru,7924
4,click,782,a1b2@mail.ru,7924
4,click,342,a1b2@mail.ru,7924
4,click,562,a1b2@mail.ru,7924
4,click,952,a1b2@mail.ru,7924
4,click,52,a1b2@mail.ru,7924
4,click,732,a1b2@mail.ru,7924
4,click,122,a1b2@mail.ru,7924
4,click,512,a1b2@mail.ru,7924
4,click,172,a1b2@mail.ru,7924
4,purchase,422,a1b2@mail.ru,16058
4,purchase,642,a1b2@mail.ru,16058
4,purchase,252,a1b2@mail.ru,16058
4,purchase,862,a1b2@mail.ru,16058
4,purchase,472,a1b2@mail.ru,16058
4,purchase,82,a1b2@mail.ru,16058
4,purchase,692,a1b2@mail.ru,16058
4,purchase,302,a1b2@mail.ru,16058
4,purchase,912,a1b2@mail.ru,16058
4,purchase,32,a1b2@mail.ru,16058
4,purchase,132,a1b2@mail.ru,16058
4,purchase,742,a1b2@mail.ru,16058
4,purchase,352,a1b2@mail.ru,16058
4,purchase,962,a1b2@mail.ru,16058
4,purchase,572,a1b2@mail.ru,16058
4,purchase,182,a1b2@mail.ru,16058
4,purchase,522,a1b2@mail.ru,16058
4,view,772,a1b2@mail.ru,23850
4,view,312,a1b2@mail.ru,23850
4,view,702,a1b2@mail.ru,23850
4,view,162,a1b2@mail.ru,23850
4,view,482,a1b2@mail.ru,23850
4,view,872,a1b2@mail.ru,23850
4,view,262,a1b2@mail.ru,23850
4,view,652,a1b2@mail.ru,23850
4,view,42,a1b2@mail.ru,23850
4,view,432,a1b2@mail.ru,23850
4,view,822,a1b2@mail.ru,23850
4,view,212,a1b2@mail.ru,23850
4,view,602,a1b2@mail.ru,23850
4,view,992,a1b2@mail.ru,23850
4,view,382,a1b2@mail.ru,23850
4,view,92,a1b2@mail.ru,23850
0,click,370,borya@mail.ru,8250
0,click,520,borya@mail.ru,8250
0,click,910,borya@mail.ru,8250
0,click,130,borya@mail.ru,8250
0,click,300,borya@mail.ru,8250
0,click,690,borya@mail.ru,8250
0,click,80,borya@mail.ru,8250
0,click,470,borya@mail.ru,8250
0,click,860,borya@mail.ru,8250
0,click,250,borya@mail.ru,8250
0,click,640,borya@mail.ru,8250
0,click,30,borya@mail.ru,8250
0,click,420,borya@mail.ru,8250
0,click,810,borya@mail.ru,8250
0,click,200,borya@mail.ru,8250
0,click,590,borya@mail.ru,8250
0,click,980,borya@mail.ru,8250
0,purchase,990,borya@mail.ru,16210
0,purchase,110,borya@mail.ru,16210
0,purchase,650,borya@mail.ru,16210
0,purchase,40,borya@mail.ru,16210
0,purchase,430,borya@mail.ru,16210
0,purchase,820,borya@mail.ru,16210
0,purchase,210,borya@mail.ru,16210
0,purchase,600,borya@mail.ru,16210
0,purchase,260,borya@mail.ru,16210
0,purchase,380,borya@mail.ru,16210
0,purchase,770,borya@mail.ru,16210
0,purchase,160,borya@mail.ru,16210
0,purchase,550,borya@mail.ru,16210
0,purchase,940,borya@mail.ru,16210
0,purchase,330,borya@mail.ru,16210
0,purchase,720,borya@mail.ru,16210
0,view,0,borya@mail.ru,24250
0,view,850,borya@mail.ru,24250
0,view,390,borya@mail.ru,24250
0,view,780,borya@mail.ru,24250
0,view,170,borya@mail.ru,24250
0,view,560,borya@mail.ru,24250
0,view,950,borya@mail.ru,24250
0,view,340,borya@mail.ru,24250
0,view,730,borya@mail.ru,24250
0,view,120,borya@mail.ru,24250
0,view,510,borya@mail.ru,24250
0,view,900,borya@mail.ru,24250
0,view,290,borya@mail.ru,24250
0,view,680,borya@mail.ru,24250
0,view,70,borya@mail.ru,24250
0,view,460,borya@mail.ru,24250
0,view,240,borya@mail.ru,24250
2,click,286,boy1258@mail.ru,7376
2,click,676,boy1258@mail.ru,7376
2,click,66,boy1258@mail.ru,7376
2,click,456,boy1258@mail.ru,7376
2,click,846,boy1258@mail.ru,7376
2,click,236,boy1258@mail.ru,7376
2,click,626,boy1258@mail.ru,7376
2,click,16,boy1258@mail.ru,7376
2,click,406,boy1258@mail.ru,7376
2,click,796,boy1258@mail.ru,7376
2,click,186,boy1258@mail.ru,7376
2,click,576,boy1258@mail.ru,7376
2,click,966,boy1258@mail.ru,7376
2,click,356,boy1258@mail.ru,7376
2,click,746,boy1258@mail.ru,7376
2,click,136,boy1258@mail.ru,7376
2,purchase,926,boy1258@mail.ru,15858
2,purchase,266,boy1258@mail.ru,15858
2,purchase,806,boy1258@mail.ru,15858
2,purchase,196,boy1258@mail.ru,15858
2,purchase,586,boy1258@mail.ru,15858
2,purchase,976,boy1258@mail.ru,15858
2,purchase,366,boy1258@mail.ru,15858
2,purchase,756,boy1258@mail.ru,15858
2,purchase,26,boy1258@mail.ru,15858
2,purchase,146,boy1258@mail.ru,15858
2,purchase,416,boy1258@mail.ru,15858
2,purchase,316,boy1258@mail.ru,15858
2,purchase,706,boy1258@mail.ru,15858
2,purchase,96,boy1258@mail.ru,15858
2,purchase,486,boy1258@mail.ru,15858
2,purchase,876,boy1258@mail.ru,15858
2,purchase,536,boy1258@mail.ru,15858
2,view,396,boy1258@mail.ru,23550
2,view,546,boy1258@mail.ru,23550
2,view,936,boy1258@mail.ru,23550
